S. NO..S. NO.,STATES.STATES,PERIOD :.LE,PERIOD :.E,PERIOD :.N,01.03.2026 TO.D,01.03.2026 TO.LD NR,06.04.2026.ND,06.04.2026.TOTAL
1,A &NISLAND (UT),0,0,0,1,2 0,0,3
2.,ARUNACHAL PRADESH,5,4,3,1,1 0,2,16
3.,ASSAM,25,6,2,1,0 0,1,35
4.,MEGHALAYA,7,2,0,0,2 0,0,11
5.,NAGALAND,5,2,0,0,0 0,4,11
6.,MANIPUR,2,1,1,2,2 0,1,9
7.,MIZORAM,2,0,1,1,1 0,3,8
8.,TRIPURA,1,2,4,1,0 0,0,8
9.,SIKKIM,4,1,1,0,0 0,0,6
10.,WEST BENGAL,17,5,1,0,0 0,0,23
11.,ODISHA,8,4,8,8,2 0,0,30
12.,JHARKHAND,10,3,4,4,2 1,0,24
13.,BIHAR,27,2,5,4,0 0,0,38
14.,UTTAR PRADESH,26,15,15,11,8 0,0,75
15.,UTTARAKHAND,2,3,7,1,0 0,0,13
16.,HARYANA,10,2,6,4,0 0,0,22
17.,CHANDIGARH (UT),0,1,0,0,0 0,0,1
18.,DELHI,1,2,4,2,0 0,1,10
19.,PUNJAB,4,4,8,4,2 0,0,22
20.,HIMACHAL PRADESH,2,6,1,3,0 0,0,12
21.,JAMMU&KASHMIR(UT),0,2,7,10,1 0,0,20
22.,LADAKH(UT),1,0,0,1,0 0,0,2
23.,RAJASTHAN,19,4,3,3,1 3,0,33
24.,MADHYA PRADESH,19,11,7,8 5,2,0,52
25.,GUJARAT,22,2,1,2,0 6,0,33
26.,DADRA &NAGARHAVELI AND DAMAN&DIU(UT),2,0,0,0,0 1,0,3
27.,GOA,0,0,0,0,2 0,0,2
28.,MAHARASHTRA,8,2,9,3,9 5,0,36
29.,CHHATISGARH,4,1,3,9,13 3,0,33
30.,ANDHRA PRADESH,2,5,6,5 7,0,1,26
31.,TELANGANA,2,3,4,12,12 0,0,33
32.,TAMILNADU,14,6,8,9,1 0,0,38
33.,PUDUCHERRY (UT),2,0,0,1,1 0,0,4
34.,KARNATAKA,15,8,4,1,2 1,0,31
35.,KERALA,4,1,3,6,0 0,0,14
36.,LAKSHADWEEP (UT),0,0,0,0,1 0,0,1
,TOTAL,272,110,126,118,77 22,13,738
CATEGORYWISE DISTRIBUTION OF DISTRICTS,OUT OF THE,38%,15%,17%,16%,11% 3%,,
